,Time [s],Net Acceleration [m/s^2],Thrust Force [N]
753,0.5366666666666666,-906.4911531177228,-116.37628204426886
754,0.5373333333333333,242.17326833942687,45.48545528253786
755,0.538,221.67627818275082,-5.04866965288086
756,0.5386666666666666,201.80229316367766,155.86056752436943
757,0.5393333333333333,185.0166000907938,106.69363716928653
758,0.54,169.22584744383926,58.35920813931775
759,0.5406666666666666,153.4276002640948,10.477527095737502
760,0.5413333333333333,141.41070031182818,174.78004686125513
761,0.542,129.7340991562861,341.5540415105323
762,0.5426666666666666,118.91593609000662,298.1870820144097
763,0.5433333333333333,108.88072886801065,257.42400016991087
764,0.5439999999999999,100.29808261252875,429.9308358021494
765,0.5446666666666666,91.10767118035034,395.3382339505765
766,0.5453333333333333,85.65772843175431,363.94654492939463
767,0.5459999999999999,78.52942415899781,335.9192575062531
768,0.5466666666666666,72.33120188660888,310.5101536342368
769,0.5473333333333333,67.62844690795647,287.9751174871674
770,0.5479999999999999,62.52227705271047,268.1075109614386
771,0.5486666666666666,59.04236381918469,250.4894281925536
772,0.5493333333333333,55.243939434198616,234.8920599884706
773,0.5499999999999999,51.88015595026896,221.4966762838261
774,0.5506666666666666,49.99214694180012,210.24698763724754
775,0.5513333333333333,47.27800584285131,200.42437974129834
776,0.5519999999999999,46.095140812891295,192.7241186743169
777,0.5526666666666666,43.85491191292586,186.31642405891608
778,0.5533333333333333,44.031202182342284,181.57958554707344
779,0.5539999999999999,43.05200845449057,178.73224111201924
780,0.5546666666666666,43.53246270691157,-24.266695457656784
781,0.5553333333333333,43.082053578047024,-25.653377238445607
782,0.5559999999999999,44.497137730870584,-27.260527933242017
783,0.5566666666666666,46.38245860924091,-29.163892192702242
784,0.5573333333333333,45.728038746144215,-31.05049759774488
785,0.5579999999999999,48.328443030453606,-33.128532016568855
786,0.5586666666666666,50.05942501286066,-35.79260429077363
787,0.5593333333333333,52.21365464876085,-38.71089466963319
788,0.5599999999999999,56.51262169186334,-41.617677010279955
789,0.5606666666666666,-1060.1434229235767,-44.709191235146186
790,0.5613333333333334,54.818489381661465,-48.413494275017236
791,0.5619999999999999,50.11374884809354,-52.50441613226075
792,0.5626666666666666,44.66969354830837,-56.1780419000768
793,0.5633333333333334,41.39901481114325,-60.37549464849514
794,0.564,38.447511281666756,-65.13809621030465
795,0.5646666666666667,32.477604319491526,-69.91191638764202
796,0.5653333333333334,29.88241648589371,-75.26477543711239
797,0.566,27.706121131554966,-81.0572549337242
798,0.5666666666666667,26.85612315530771,-87.55456653798569
799,0.5673333333333334,22.472547121873596,-94.82132566794863
800,0.568,20.805119055558727,98.7028815903893
801,0.5686666666666667,22.673021534624525,91.73855288325421
802,0.5693333333333334,21.17795579521295,85.2936175806959
803,0.57,19.923561043632645,80.08294436177229
804,0.5706666666666667,19.206815538714213,75.60901269638187
805,0.5713333333333334,18.590337200062983,71.71606295848082
806,0.572,17.878983365017294,68.76076594918673
807,0.5726666666666667,16.11747906953034,66.43213245900817
808,0.5733333333333334,16.141737636513756,64.49939217930914
809,0.574,14.991061844967003,62.89107551103492
810,0.5746666666666667,16.127774342022157,62.486913367037076
811,0.5753333333333334,14.308552722769528,62.37539319672514
812,0.576,15.721508998732753,62.03408435983648
813,0.5766666666666667,16.543838892307633,62.51898684158583
814,0.5773333333333334,16.82001273777197,63.50938959955654
815,0.578,16.05928760119107,65.00952625120962
816,0.5786666666666667,16.945563762679473,66.92451646980628
817,0.5793333333333334,16.968675133227052,69.24763909003053
818,0.58,17.921030553784288,72.15197195975179
819,0.5806666666666667,20.22720187744109,75.51604849610547
820,0.5813333333333334,20.185562553825797,80.03317732184088
821,0.582,20.776861329687502,84.90490117760376
822,0.5826666666666667,23.871858471598205,90.93445469327635
823,0.5833333333333333,25.42579858791435,97.30615535350667
824,0.584,27.540908047898093,104.71894967138513
825,0.5846666666666667,29.229171747822107,112.29495586454208
826,0.5853333333333333,30.78522014404093,121.11778057589595
827,0.586,32.25266167909284,131.15874885983885
828,0.5866666666666667,34.831051727367566,143.16090511093918
829,0.5873333333333333,40.086221987941556,155.89610346557998
830,0.588,43.19290687403813,169.47024940812483
831,0.5886666666666667,47.8060722542839,184.26019995957247
832,0.5893333333333333,51.11984600001235,200.99956522332465
833,0.59,57.72602954718796,219.1242789566848
834,0.5906666666666667,58.908936033088246,239.45623254018014
835,0.5913333333333333,65.0749804420459,261.65385886963344
836,0.592,72.72872089569543,286.78002724643557
837,0.5926666666666667,83.64732097267353,314.23408733113877
838,0.5933333333333333,88.6721325240109,345.23906937770147
839,0.594,95.63912378046807,380.610203424309
840,0.5946666666666667,102.3519545063128,417.6258637079326
841,0.5953333333333333,113.7733350171994,459.8058591534819
842,0.596,124.56471254582138,316.77908098931186
843,0.5966666666666667,138.3810962739998,289.61936028716707
844,0.5973333333333333,150.86105432263844,262.9170207159983
845,0.598,168.81899606338948,222.56796427417322
846,0.5986666666666667,183.30777617016977,201.86936986839
847,0.5993333333333333,204.50256193777452,180.1524597928954
848,0.6,231.33735198629873,141.58311735142948
849,0.6006666666666667,245.72877911918343,104.48077577167362
850,0.6013333333333333,277.52621490486763,68.05880435648972
851,0.602,-746.7871397688829,32.15482740549312
852,0.6026666666666667,-99.76749123412561,-3.5877228076424177
853,0.604,-90.6203014037497,-40.04059227820459
854,0.6053333333333333,-165.25248864371756,-77.85271535589189
855,0.606,-49.9172107011941,-117.06671097721194
856,0.608,-47.92077952371916,-157.84543193251744
857,0.61,-130.62680370213704,-200.4207688741343
858,0.6106666666666667,-117.45198736352175,-246.15179721102902
859,0.6113333333333333,-106.70516185944243,-295.8962028404785
860,0.612,-97.11458411033487,-347.3411761208592
861,0.6126666666666667,-84.79638838910915,-403.8634202558095
862,0.6133333333333333,-77.95122895730177,-275.4356541783614
863,0.614,-71.68625415759622,-262.90637693371707
864,0.6146666666666667,-66.99447690691746,-251.6059639705033
865,0.6153333333333333,-57.72945368830769,-226.3244928672878
866,0.616,-53.221873505479515,-221.34658164354707
867,0.6166666666666667,-49.558706600529455,-216.2633058590307
868,0.6173333333333333,-45.020457066198105,-196.21238054193924
869,0.618,-40.07662799404273,-178.01155155498944
870,0.6186666666666667,-36.486252511522984,-161.50984670501714
871,0.6193333333333333,-33.29955044972677,-146.77185316176084
872,0.62,-30.160395430546263,-134.06694624929577
873,0.6206666666666667,-27.840229385895128,-122.10211500108066
874,0.6213333333333333,-24.799871403631897,-111.26466780352457
875,0.622,-22.262148347078966,-100.9465297991574
876,0.6226666666666666,-19.68035849862812,-92.32671083548797
877,0.6233333333333333,-19.23277416273998,-84.33964128493231
878,0.624,-16.336270769356187,-76.79537159326279
879,0.6246666666666666,-15.029023804040836,-70.0271402017993
880,0.6253333333333333,-15.236842203355431,-64.00542614670027
881,0.626,-14.213572208747705,-58.59705308516643
882,0.6266666666666666,-11.479944244995465,-53.91987978296124
883,0.6273333333333333,-11.478214171173594,-49.55907921293232
884,0.628,-9.671487993766586,-45.91639060611818
885,0.6286666666666666,-9.841570556810773,-42.69736638321068
886,0.6293333333333333,-8.84926489128142,-39.683263344555584
887,0.63,-7.646097202365471,-37.28217207901136
888,0.6306666666666666,-7.419171558067551,-34.8636184412125
889,0.6313333333333333,-6.622661021270363,-33.030500589324205
890,0.632,-6.43973550300163,-31.43260350215829
891,0.6326666666666666,-7.315254326364599,-30.16091577660799
892,0.6333333333333333,-5.9337255970522405,-29.327803903025867
893,0.634,-7.603070459149935,-28.75810050192517
894,0.6346666666666666,-6.916403498590211,-25.221133763532865
895,0.6353333333333333,-5.517131465661818,-23.699166002217474
896,0.636,-6.34096257893797,-23.298495945817304
897,0.6366666666666666,-5.7963650638573885,-22.898663926018866
898,0.6373333333333333,-6.152282703310121,-21.652395870262968
899,0.638,-6.1518177642302225,-20.2100708620687
900,0.6386666666666666,-8.17191039474265,-18.77950238303934
901,0.6393333333333333,-9.585172911069245,-17.428672869780826
902,0.64,-8.31492534999157,-15.978242019467233
903,0.6406666666666666,8.171601042116967,-14.973721783467752
904,0.6413333333333333,-1.2161115420144122,-13.396394644086909
905,0.642,-7.615625799032049,-11.67643367281768
