,tCont,vYSmooth
841,0.595333333,31.79180977
842,0.596,34.47821278
843,0.596666667,37.46438955
844,0.597333333,40.73380458
845,0.598,44.36585435
846,0.598666667,48.32546207
847,0.599333333,52.75640685
848,0.6,57.56763457
849,0.600666667,62.93515588
850,0.601333333,69.00700239
851,0.602,75.45657665
852,0.602666667,82.74072927
853,0.604,63.14001694
854,0.605333333,57.90287829
855,0.606,53.14590709
856,0.608,48.80857143
857,0.61,44.8780824
858,0.610666667,41.10479267
859,0.611333333,37.67626764
860,0.612,34.59353831
861,0.612666667,31.7928779
862,0.613333333,29.24393868
863,0.614,27.01831169
864,0.614666667,24.97234768
865,0.615333333,23.0908187
866,0.616,21.33243347
867,0.616666667,19.81722472
868,0.617333333,18.42032515
869,0.618,17.1195717
870,0.618666667,15.9379324
871,0.619333333,14.8860524
872,0.62,13.92840798
873,0.620666667,13.05440403
874,0.621333333,12.2627926
875,0.622,11.53207792
876,0.622666667,10.88116266
877,0.623333333,10.2968543
878,0.624,9.780309462
879,0.624666667,9.27551224
880,0.625333333,8.846738729
881,0.626,8.452276162
882,0.626666667,8.052359044
883,0.627333333,7.679299406
884,0.628,7.377988533
885,0.628666667,7.076723069
886,0.629333333,6.82287824
887,0.63,6.564569302
888,0.630666667,6.332305131
889,0.631333333,6.131620165
890,0.632,5.936891253
891,0.632666667,5.763068129
892,0.633333333,5.5940462
893,0.634,5.402044774
894,0.634666667,5.246303945
895,0.635333333,5.04674829
896,0.636,4.865215389
897,0.636666667,4.720408789
898,0.637333333,4.553979325
899,0.638,4.401843759
900,0.638666667,4.240366523
901,0.639333333,4.07890149
902,0.64,3.864415653
903,0.640666667,3.612836311
904,0.641333333,3.394596801
905,0.642,3.609074518
906,0.642666667,3.57715558
907,0.643333333,3.377270389
908,0.644,3.203307767
909,0.644666667,3.18434751
910,0.645333333,3.199931372
911,0.646,3.234706743
912,0.646666667,3.262656164
913,0.647333333,3.282149466
914,0.648,3.272882862
915,0.648666667,3.303325332
916,0.649333333,3.372588724
917,0.65,3.432105042
918,0.650666667,3.44629595
919,0.651333333,3.492844705
920,0.652,3.501384812
921,0.652666667,3.539788773
922,0.653333333,3.570572068
923,0.654,3.608268155
924,0.654666667,3.646797535
925,0.655333333,3.688196122
926,0.656,3.737164099
927,0.656666667,3.808449262
928,0.657333333,3.847545875
929,0.658,3.8901867
930,0.658666667,3.955332754
931,0.659333333,3.993949942
932,0.66,4.057543352
933,0.660666667,4.098139213
934,0.661333333,4.154098582
935,0.662,4.208327551
936,0.662666667,4.236199927
937,0.663333333,4.25627017
938,0.664,4.275999139
939,0.664666667,4.321374577
940,0.665333333,4.344123617
941,0.666,4.375369165
942,0.666666667,4.354015552
943,0.667333333,4.407884361
944,0.668,4.478728738
945,0.668666667,4.513228139
946,0.669333333,4.578475213
947,0.67,4.62151795
948,0.670666667,4.662685815
949,0.671333333,4.738919372
950,0.672,4.959067623
951,0.672666667,5.046216685
952,0.673333333,5.117502787
953,0.674,5.298145544
954,0.674666667,5.378772515
955,0.675333333,5.49208585
956,0.676,5.565428112
957,0.676666667,5.588419112
958,0.677333333,5.620095414
959,0.678,5.717622472
960,0.678666667,5.761134356
961,0.679333333,5.799007987
962,0.68,5.968290352
963,0.680666667,6.033922928
964,0.681333333,6.09117653
965,0.682,6.267276184
966,0.682666667,6.419631254
967,0.683333333,6.658056234
968,0.684,6.939181167
969,0.684666667,7.23347615
970,0.685333333,7.546272205
971,0.686,7.928954256
972,0.686666667,8.299299615
973,0.687333333,8.703566017
974,0.688,9.119392494
975,0.688666667,9.570777748
976,0.689333333,10.07881761
977,0.69,10.47445693
978,0.690666667,10.84898742
979,0.691333333,11.10247495
980,0.692,11.57220624
981,0.692666667,12.07426818
982,0.693333333,12.67403598
983,0.694,13.34446575
984,0.694666667,14.0428054
985,0.695333333,14.85535491
986,0.696,15.73514816
987,0.696666667,-5.014782333
988,0.697333333,-4.102375851
989,0.698,-3.279298256
990,0.698666667,-2.508450006
991,0.699333333,-1.804636181
992,0.7,-1.155998942
993,0.700666667,-0.489077204
994,0.701333333,0.222117326
995,0.702,0.729106487
996,0.702666667,1.325270454
997,0.703333333,1.9419157
998,0.704,2.386569841
999,0.704666667,3.074140272
1000,0.705333333,3.495334468
1001,0.706,3.898839225
1002,0.706666667,4.273854007
1003,0.707333333,4.641250141
1004,0.708,5.012502911
1005,0.708666667,5.391676548
1006,0.709333333,5.77382571
1007,0.71,6.173652978
1008,0.710666667,6.539082482
1009,0.711333333,6.997764915
1010,0.712,7.458756416
1011,0.712666667,7.939306941
1012,0.713333333,8.445058979
1013,0.714,8.960213444
1014,0.714666667,9.598025696
1015,0.715333333,10.17099414
1016,0.716,10.82505247
1017,0.716666667,11.49302479
1018,0.717333333,12.24036059
1019,0.718,12.95004569
1020,0.718666667,-6.804415659
1021,0.719333333,-6.114870754
1022,0.72,-5.476241544
1023,0.720666667,-4.93578245
1024,0.721333333,-4.461704321
1025,0.722,-4.075722927
1026,0.722666667,-3.707045135
1027,0.723333333,-2.665470965
1028,0.724,-2.148370437
1029,0.724666667,-1.664821111
