,time,aYSmooth,ThrustAccelerationIn/s^2,Thrust Force lb*ft/s^2
300,0.228,710.1280004,-324.0394404,-0.000740125
301,0.228666667,813.6854791,-427.5969191,-0.000976657
302,0.229333333,944.4596448,-558.3710848,-0.001275353
303,0.23,1026.963374,-640.8748139,-0.001463796
304,0.230666667,1126.868358,-740.7797979,-0.001691985
305,0.231333333,1254.686683,-868.5981227,-0.001983929
306,0.232,1371.83742,-985.7488598,-0.002251509
307,0.232666667,1680.693068,-1294.604508,-0.002956953
308,0.233333333,1670.59485,-1284.50629,-0.002933888
309,0.234,1813.524816,-1427.436256,-0.003260349
310,0.234666667,2188.354435,-1802.265875,-0.004116482
311,0.235333333,2058.823204,-1672.734644,-0.003820625
312,0.236,2334.852473,-1948.763913,-0.004451092
313,0.236666667,2462.281734,-2076.193174,-0.004742148
314,0.237333333,2828.637776,-2442.549216,-0.005578927
315,0.238,3047.433823,-2661.345263,-0.00607867
316,0.238666667,3309.099809,-2923.011249,-0.00667633
317,0.239333333,3389.697689,-3003.609129,-0.006860421
318,0.24,-81895.35674,82281.4453,0.187935683
319,0.240666667,3429.437186,-3043.348626,-0.006951188
320,0.241333333,3070.580633,-2684.492073,-0.006131539
321,0.242,2806.955206,-2420.866646,-0.005529402
322,0.242666667,2784.900017,-2398.811457,-0.005479027
323,0.243333333,2554.261761,-2168.173201,-0.004952236
324,0.244,2367.169214,-1981.080654,-0.004524905
325,0.244666667,2118.916142,-1732.827582,-0.003957881
326,0.245333333,1971.974128,-1585.885568,-0.003622256
327,0.246,1777.498537,-1391.409977,-0.003178063
328,0.246666667,1626.897707,-1240.809147,-0.002834081
329,0.247333333,1545.507726,-1159.419166,-0.002648182
330,0.248,1334.56798,-948.4794195,-0.002166383
331,0.248666667,1173.827601,-787.7390414,-0.001799243
332,0.249333333,1131.741516,-745.6529558,-0.001703115
333,0.25,990.309572,-604.221012,-0.001380076
334,0.250666667,970.1698496,-584.0812896,-0.001334076
335,0.251333333,923.1970681,-537.1085081,-0.001226788
336,0.252,872.8019277,-486.7133677,-0.001111682
337,0.252666667,835.4155951,-449.3270351,-0.001026289
338,0.253333333,753.5167563,-367.4281963,-0.000839228
339,0.254,739.0885426,-352.9999826,-0.000806273
340,0.254666667,603.5504647,-217.4619047,-0.000496696
341,0.255333333,592.413987,-206.325427,-0.000471259
342,0.256,485.9698004,-99.8812404,-0.000228135
343,0.256666667,470.2891247,-84.20056471,-0.000192319
344,0.257333333,518.2720326,-132.1834726,-0.000301915
345,0.258,388.3343195,-2.245759497,-5.13E-06
346,0.258666667,403.3366417,-17.24808167,-3.94E-05
347,0.259333333,349.4893443,36.59921573,8.36E-05
348,0.26,333.4791715,52.60938845,0.000120163
349,0.260666667,334.9910717,51.09748829,0.00011671
350,0.261333333,336.3076658,49.78089415,0.000113703
351,0.262,310.008196,76.08036397,0.000173772
352,0.262666667,296.2130898,89.87547017,0.000205281
353,0.263333333,257.9477396,128.1408204,0.000292681
354,0.264,290.8654135,95.22314646,0.000217495
355,0.264666667,281.9821971,104.1063629,0.000237785
356,0.265333333,191.7579562,194.3306038,0.000443863
357,0.266,254.6392869,131.4492731,0.000300238
358,0.266666667,212.1950662,173.8934938,0.000397183
359,0.267333333,206.5043451,179.5842149,0.000410181
360,0.268,190.9866375,195.1019225,0.000445624
361,0.268666667,163.0243041,223.0642559,0.000509492
362,0.269333333,170.0047234,216.0838366,0.000493548
363,0.27,137.8489485,248.2396115,0.000566994
364,0.270666667,156.7771917,229.3113683,0.000523761
365,0.271333333,160.1100881,225.9784719,0.000516148
366,0.272,143.9985055,242.0900545,0.000552948
367,0.272666667,165.2707108,220.8178492,0.000504361
368,0.273333333,158.8317411,227.2568189,0.000519068
369,0.274,158.897302,227.191258,0.000518918
370,0.274666667,133.966219,252.122341,0.000575862
371,0.275333333,134.2909204,251.7976396,0.000575121
372,0.276,118.1819344,267.9066256,0.000611915
373,0.276666667,143.3796911,242.7088689,0.000554361
374,0.277333333,101.8982407,284.1903193,0.000649107
375,0.278,158.9936523,227.0949077,0.000518698
376,0.278666667,106.2389399,279.8496201,0.000639193
377,0.279333333,172.3268579,213.7617021,0.000488244
378,0.28,124.0403384,262.0482216,0.000598534
379,0.280666667,83.57694391,302.5116161,0.000690954
380,0.281333333,152.9475382,233.1410218,0.000532508
381,0.282,120.070501,266.018059,0.000607601
382,0.282666667,124.5139231,261.5746369,0.000597452
383,0.283333333,78.64341539,307.4451446,0.000702223
384,0.284,74.12159809,311.9669619,0.000712551
385,0.284666667,76.66959047,309.4189695,0.000706731
386,0.285333333,159.334724,226.753836,0.000517919
387,0.286,62.07765598,324.010904,0.00074006
388,0.286666667,84.04615313,302.0424069,0.000689883
389,0.287333333,91.04932112,295.0392389,0.000673887
390,0.288,80.68487703,305.403683,0.00069756
391,0.288666667,92.87207749,293.2164825,0.000669724
392,0.289333333,63.66304962,322.4255104,0.000736439
393,0.29,29.34131719,356.7472428,0.000814832
394,0.290666667,71.41439927,314.6741607,0.000718734
395,0.291333333,64.99120795,321.0973521,0.000733405
396,0.292,113.7749147,272.3136453,0.00062198
397,0.292666667,69.69806358,316.3904964,0.000722655
398,0.293333333,64.41394835,321.6746117,0.000734724
399,0.294,88.18605935,297.9025007,0.000680427
400,0.294666667,83.97129755,302.1172625,0.000690054
401,0.295333333,67.73471776,318.3538422,0.000727139
402,0.296,33.43675358,352.6518064,0.000805478
403,0.296666667,63.08934863,322.9992114,0.000737749
404,0.297333333,50.67987645,335.4086835,0.000766093
405,0.298,30.56793857,355.5206214,0.00081203
406,0.298666667,72.13839667,313.9501633,0.000717081
407,0.299333333,41.99246848,344.0960915,0.000785936
408,0.3,25.09831361,360.9902464,0.000824523
409,0.300666667,106.639639,279.448921,0.000638278
410,0.301333333,33.61073465,352.4778253,0.00080508
411,0.302,91.5965072,294.4920528,0.000672637
412,0.302666667,123.8101693,262.2783907,0.000599059
413,0.303333333,39.90027576,346.1882842,0.000790714
414,0.304,18.58022888,367.5083311,0.000839411
415,0.304666667,48.6643288,337.4242312,0.000770697
416,0.305333333,3.914596775,382.1739632,0.000872908
417,0.306,7.888096606,378.2004634,0.000863832
418,0.306666667,62.91360814,323.1749519,0.000738151
419,0.307333333,26.27279667,359.8157633,0.00082184
420,0.308,36.20768063,349.8808794,0.000799149
421,0.308666667,20.66500966,365.4235503,0.000834649
422,0.309333333,15.15183344,370.9367266,0.000847241
423,0.31,13.13473899,372.953821,0.000851849
424,0.310666667,26.74730281,359.3412572,0.000820757
425,0.311333333,54.66021531,331.4283447,0.000757002
426,0.312,32.38556383,353.7029962,0.000807879
427,0.312666667,30.11220527,355.9763547,0.000813071
428,0.313333333,21.24600387,364.8425561,0.000833322
429,0.314,66.53929348,319.5492665,0.000729869
430,0.314666667,45.19912548,340.8894345,0.000778612
431,0.315333333,71.98586832,314.1026917,0.000717429
432,0.316,94.43411923,291.6544408,0.000666156
433,0.316666667,108.9706668,277.1178932,0.000632954
434,0.317333333,112.7314807,273.3570793,0.000624364
435,0.318,122.3310844,263.7574756,0.000602438
436,0.318666667,152.1485998,233.9399602,0.000534333
437,0.319333333,217.3481357,168.7404243,0.000385413
438,0.32,239.0817718,147.0067882,0.000335772
439,0.320666667,258.3887085,127.6998515,0.000291674
440,0.321333333,186.7624406,199.3261194,0.000455273
441,0.322,266.4535841,119.6349759,0.000273253
442,0.322666667,317.2108045,68.87775549,0.000157321
443,0.323333333,382.9113095,3.177250519,7.26E-06
444,0.324,282.1238205,103.9647395,0.000237462
445,0.324666667,272.4873028,113.6012572,0.000259472
446,0.325333333,375.9989479,10.08961207,2.30E-05
447,0.326,488.3674229,-102.2788629,-0.000233611
448,0.326666667,581.5853269,-195.4967669,-0.000446526
449,0.327333333,543.1633068,-157.0747468,-0.000358768
450,0.328,649.7471126,-263.6585526,-0.000602212
451,0.328666667,842.4216156,-456.3330556,-0.001042292
452,0.329333333,858.6410213,-472.5524613,-0.001079338
453,0.33,817.005338,-430.916778,-0.000984239
454,0.330666667,1036.168373,-650.0798129,-0.001484821
455,0.331333333,1129.216818,-743.1282578,-0.001697349
456,0.332,1288.025674,-901.9371142,-0.002060078
457,0.332666667,1421.072099,-1034.983539,-0.002363964
458,0.333333333,1510.112263,-1124.023703,-0.002567337
459,0.334,1728.990598,-1342.902038,-0.003067268
460,0.334666667,1894.857199,-1508.768639,-0.003446117
461,0.335333333,2093.701957,-1707.613397,-0.00390029
462,0.336,2259.542481,-1873.453921,-0.004279079
463,0.336666667,2444.659792,-2058.571232,-0.004701898
464,0.337333333,2884.326572,-2498.238012,-0.005706123
465,0.338,3019.466273,-2633.377713,-0.00601479
466,0.338666667,3394.520063,-3008.431503,-0.006871435
467,0.339333333,3658.773256,-3272.684696,-0.007475005
468,0.34,4095.30758,-3709.21902,-0.008472075
469,0.340666667,-64606.54303,64992.63159,0.148447011
470,0.341333333,4193.152921,-3807.064361,-0.00869556
471,0.342,3963.367247,-3577.278687,-0.008170716
472,0.342666667,3929.248817,-3543.160257,-0.008092787
473,0.343333333,3758.132124,-3372.043564,-0.007701947
474,0.344,3708.786642,-3322.698082,-0.007589239
475,0.344666667,3699.12414,-3313.03558,-0.007567169
476,0.345333333,3784.287726,-3398.199166,-0.007761688
477,0.346,3818.640352,-3432.551792,-0.007840151
478,0.346666667,3916.883669,-3530.795109,-0.008064545
479,0.347333333,-63034.81935,63420.90791,0.144857101
480,0.348,3750.987452,-3364.898892,-0.007685628
481,0.348666667,3360.680531,-2974.591971,-0.006794144
482,0.349333333,2975.14316,-2589.0546,-0.005913554
483,0.35,2769.743199,-2383.654639,-0.005444408
484,0.350666667,2422.166898,-2036.078338,-0.004650523
485,0.351333333,2221.794132,-1835.705572,-0.00419286
486,0.352,2641.97802,-2255.88946,-0.005152585
487,0.352666667,2389.776807,-2003.688247,-0.004576542
488,0.353333333,2195.822554,-1809.733994,-0.004133539
489,0.354,2000.081399,-1613.992839,-0.003686455
490,0.354666667,1823.830805,-1437.742245,-0.003283888
491,0.355333333,1728.8377,-1342.74914,-0.003066918
492,0.356,1491.568461,-1105.479901,-0.002524981
493,0.356666667,1441.521459,-1055.432899,-0.002410671
494,0.357333333,1301.107768,-915.019208,-0.002089958
495,0.358,1316.772989,-930.6844285,-0.002125738
496,0.358666667,1121.10627,-735.0177102,-0.001678824
497,0.359333333,976.8874514,-590.7988914,-0.00134942
498,0.36,958.6351236,-572.5465636,-0.00130773
499,0.360666667,850.6286234,-464.5400634,-0.001061037
500,0.361333333,732.5315925,-346.4430325,-0.000791296
501,0.362,723.5062628,-337.4177028,-0.000770682
502,0.362666667,592.4973158,-206.4087558,-0.00047145
503,0.363333333,623.1717572,-237.0831972,-0.000541512
504,0.364,498.7990383,-112.7104783,-0.000257437
505,0.364666667,470.8617457,-84.77318574,-0.000193627
506,0.365333333,503.6414042,-117.5528442,-0.000268498
507,0.366,404.5433144,-18.45475445,-4.22E-05
508,0.366666667,362.7883507,23.30020934,5.32E-05
509,0.367333333,387.9303744,-1.841814419,-4.21E-06
510,0.368,266.4356801,119.6528799,0.000273294
511,0.368666667,226.4315705,159.6569895,0.000364666
512,0.369333333,224.11988,161.96868,0.000369946
513,0.37,191.7230116,194.3655484,0.000443942
514,0.370666667,196.4224083,189.6661517,0.000433209
515,0.371333333,184.6569438,201.4316162,0.000460082
516,0.372,165.6980336,220.3905264,0.000503385
517,0.372666667,119.7336352,266.3549248,0.00060837
518,0.373333333,139.9736279,246.1149321,0.000562141
519,0.374,106.0532837,280.0352763,0.000639617
520,0.374666667,119.5989523,266.4896077,0.000608678
521,0.375333333,27.53864987,358.5499101,0.000818949
522,0.376,76.49218424,309.5963758,0.000707136
523,0.376666667,34.73266357,351.3558964,0.000802518
524,0.377333333,29.83214192,356.2564181,0.000813711
525,0.378,63.02604413,323.0625159,0.000737894
526,0.378666667,13.8483273,372.2402327,0.000850219
527,0.379333333,-24.43643642,410.5249964,0.000937663
528,0.38,17.75284776,368.3357122,0.000841301
529,0.380666667,-26.58685432,412.6754143,0.000942575
530,0.381333333,-29.11112161,415.1996816,0.000948341
531,0.382,-82.70864844,468.7972084,0.001070761
